Question,Answer,Image
"What is biodiversity?","Biodiversity refers to the variety of all living organisms on Earth, including differences within species and between species across ecosystems."
"What is biological classification?","Biological classification is the process of dividing living organisms into groups and subgroups based on their similarities and differences."
"Why is classification needed?","Classification is necessary to study and understand the vast number of living organisms systematically, as there are around 8.7 million species on Earth."
"What are the five kingdoms in Whittaker's classification?","The five kingdoms are Monera, Protista, Fungi, Plantae, and Animalia."
"What are the criteria for Whittaker's classification?","The criteria include cell structure, organism complexity, mode of nutrition, lifestyle, and phylogenetic relationships."
"Who introduced the binomial nomenclature system?","Carl Linnaeus introduced the binomial nomenclature system in 1735."
"Which kingdoms include unicellular organisms?","Unicellular organisms are included in Monera and Protista."
"What are the characteristics of the Monera kingdom?","Monera includes unicellular organisms that are prokaryotic, can be autotrophic or heterotrophic, and lack distinct nuclei or organelles."
"What are the characteristics of the Protista kingdom?","Protista includes single-celled eukaryotic organisms with a defined nucleus and organelles, and they can be autotrophic or heterotrophic."
"How do fungi obtain nutrition?","Fungi are saprotrophic, obtaining nutrition by absorbing decaying organic matter."
"What are the cell wall components in fungi?","The cell wall of fungi is made up of chitin."
"What are viruses?","Viruses are microscopic particles that are not considered fully living. They consist of DNA or RNA enclosed in a protein coat and can replicate only inside a host cell."
"State the characteristics of bacteria.","Bacteria are unicellular, prokaryotic organisms with a cell wall but no distinct nucleus or organelles. They reproduce by binary fission."
"Name some examples of fungi.","Examples of fungi include Baker's yeast, Aspergillus, Penicillium, and mushrooms."
"Name examples of diseases caused by viruses.","Human diseases include polio, influenza, and AIDS. In plants, examples are Tomato Wilt Virus and Tobacco Mosaic Virus."
"How do Amoeba move?","Amoeba move using pseudopodia, which are temporary projections of the cell."
"Name the levels of hierarchy in biological classification.","The levels include Domain, Kingdom, Phylum, Class, Order, Family, Genus, and Species."
"What are autotrophic and heterotrophic organisms?","Autotrophic organisms produce their own food (e.g., plants), while heterotrophic organisms depend on other organisms for food (e.g., animals and fungi)."
"What are the two main groups of living organisms based on cell structure?","The two groups are Prokaryotes and Eukaryotes."
"What is the role of fungi in the ecosystem?","Fungi act as decomposers, breaking down dead organic material and recycling nutrients into the environment."
"What is the main difference between prokaryotic and eukaryotic cells?","Prokaryotic cells lack a nucleus and membrane-bound organelles, while eukaryotic cells have both."
"Give examples of autotrophic Protista.","Examples include Euglena and Volvox."
"Explain the lifestyle of plants, animals, and fungi in Whittaker's classification.","Plants are producers, animals are consumers, and fungi are decomposers."
"What are the locomotion structures in Protista?","Protista use structures like pseudopodia, cilia, or flagella for locomotion."
"Name some pathogenic bacteria.","Examples include Vibrio cholerae (causes cholera), Clostridium tetani (causes tetanus), and Salmonella typhi (causes typhoid)."
"What does the term 'phylogenetic relationship' mean?","It refers to the evolutionary relationship among species, showing how they are related through common ancestors."
"How does the size of bacteria compare to viruses?","Bacteria are larger (1–10 µm) compared to viruses (10–100 nm)."
"What are the characteristics of algae?","Algae are aquatic, unicellular or multicellular, eukaryotic, autotrophic organisms that perform photosynthesis."
"What are the merits of Whittaker's classification?","It provides a clear distinction based on cell structure, complexity, nutrition, and evolutionary relationships."
"What is the structure of a virus?","A virus is a particle consisting of DNA or RNA surrounded by a protein coat."
"Which microorganisms are studied under microbiology?","Microorganisms include bacteria, protozoa, fungi, algae, and viruses."
"What is an example of a prokaryotic microorganism?","An example is bacteria, such as Lactobacillus or Vibrio cholerae."
"What is an example of a eukaryotic microorganism?","Examples include Amoeba, Paramecium, and Euglena."
"Which organisms are included in the kingdom Monera?","All prokaryotic organisms, such as bacteria and blue-green algae, are included in the kingdom Monera."
"What is the main mode of reproduction in bacteria?","Bacteria reproduce through binary fission."
"Name an example of a unicellular fungus.","An example is Baker’s yeast (Saccharomyces)."
"Which organism causes malaria?","Malaria is caused by Plasmodium vivax."
"Why are viruses considered 'on the edge of living and non-living'?","Viruses cannot reproduce or metabolize outside a host cell, making them dependent on living organisms to display life-like characteristics."
"What is health?","Health is a state of complete physical, mental, and social well-being, not just the absence of disease."
"What is a disease?","A disease is a condition that disturbs the physiological or psychological processes of the body, with specific symptoms."
"What are chronic diseases?","Chronic diseases are long-term illnesses like diabetes, heart diseases, and asthma."
"What are acute diseases?","Acute diseases are short-term illnesses like the common cold and flu."
"What are hereditary diseases?","Hereditary diseases are passed down through families, such as Down's syndrome."
"What are infectious diseases?","Infectious diseases spread through air, water, food, or vectors, like tuberculosis or malaria."
"What is a pathogen?","A pathogen is a microorganism like bacteria, viruses, or fungi that causes diseases."
"How does malaria spread?","Malaria spreads through the bite of infected female Anopheles mosquitoes."
"How does tuberculosis spread?","Tuberculosis spreads through air when an infected person coughs or sneezes."
"What are the symptoms of dengue?","Symptoms of dengue include acute fever, headache, pain in the eye socket, and reduced platelet count."
"What are the symptoms of rabies?","Rabies symptoms include fever, hydrophobia (fear of water), and behavioral changes."
"What is cancer?","Cancer is the uncontrolled and abnormal growth of cells, forming malignant tumors."
"What are the causes of cancer?","Causes of cancer include smoking, alcohol, obesity, and hereditary factors."
"What are the preventive measures for diabetes?","Preventive measures for diabetes include regular exercise, a healthy diet, and stress management."
"What are non-infectious diseases?","Non-infectious diseases do not spread through contact, like diabetes and cancer."
"What is the importance of vaccination?","Vaccination prevents infectious diseases by boosting the immune system."
"What are generic medicines?","Generic medicines are cost-effective alternatives to branded medicines with similar quality."
"How can heart attacks be prevented?","Heart attacks can be prevented through exercise, a healthy diet, and avoiding smoking and stress."
"What is swine flu?","Swine flu is an infection caused by the H1N1 virus, transmitted through contact with pigs or infected people."
"What are the symptoms of swine flu?","Symptoms of swine flu include sore throat, body aches, and difficulty breathing."
"What is AIDS?","AIDS is caused by the HIV virus, which weakens the immune system and leads to various infections."
"How is AIDS diagnosed?","AIDS is diagnosed using the ELISA test in medical laboratories."
"What is the importance of personal hygiene?","Personal hygiene prevents the spread of infectious diseases and promotes good health."
"Why should we drink boiled water?","Boiled water kills harmful pathogens, especially during the rainy season."
"Why are clean hands important?","Clean hands prevent the spread of germs and infectious diseases."
"What are the symptoms of typhoid?","Symptoms of typhoid include high fever, rash on the abdomen, and loss of appetite."
"What is the role of mosquitoes in spreading diseases?","Mosquitoes spread diseases like malaria, dengue, and elephantiasis by biting infected individuals and transmitting pathogens."
"What are the effects of lifestyle on health?","Unhealthy lifestyles, such as lack of exercise and eating junk food, can lead to frequent illnesses and chronic diseases."
"What is rabies?","Rabies is a viral disease caused by the bite of infected animals like dogs, monkeys, or cats."
"How can rabies be prevented?","Rabies can be prevented by vaccinating pets and seeking timely medical help after a bite."
"What is the function of the immune system?","The immune system protects the body from diseases by identifying and fighting harmful pathogens."
"What are the benefits of blood donation?","Blood donation saves lives by providing blood components like RBCs, WBCs, and platelets to those in need."
"What is elephantiasis?","Elephantiasis is a disease caused by parasitic worms, leading to severe swelling of body parts."
"How does hepatitis spread?","Hepatitis spreads through contaminated water, blood transfusion, and sharing of infected needles."
"What are the symptoms of hepatitis?","Symptoms of hepatitis include yellowing of the skin, dark urine, and abdominal pain."
"How can we maintain a healthy lifestyle?","A healthy lifestyle includes balanced nutrition, regular exercise, sufficient sleep, and stress management."
"Why are generic medicines important?","Generic medicines provide affordable treatment options while maintaining quality."
"What is the role of WHO in public health?","WHO helps coordinate global health initiatives, including disease control and vaccination programs."
"What are the symptoms of the common cold?","Symptoms include sneezing, runny nose, cough, and mild fever."
"How does cholera spread?","Cholera spreads through contaminated water or food and causes severe diarrhea."
"What are the symptoms of diabetes?","Symptoms include frequent urination, increased thirst, and unexplained weight loss."
"Diagram of Five Kingdom ","The Five Kingdom system classifies organisms into Monera, Protista, Fungi, Plantae, and Animalia based on cell structure and nutrition.","Fivekingdom.png"
"Diagram of  bacteria","Bacteria are prokaryotic microorganisms with cell walls but no nucleus or membrane-bound organelles.","Bacteria.png"
"Diagram of Chlorella algae","Chlorella is a genus of single-celled green algae containing chlorophyll for photosynthesis.","Chlorella.png"
"Diagram of Entamoeba histolytica","Entamoeba is an anaerobic parasitic protozoan that causes amoebic dysentery in humans.","Entamoeba.png"
"Diagram of Fungi ","Fungi are eukaryotic organisms that include yeasts, molds, and mushrooms They decompose organic matter.","Fungi.png"
"Diagram of organisms from Kingdom Protista","Protists include diverse eukaryotic microorganisms like algae, amoebas, and paramecia.","Organisms_from_Kingdom_Protista.png"
"Diagram of organisms from Kingdom Monera","Monera contains prokaryotic organisms including bacteria and cyanobacteria.","Organisms_from_Kingdom_Monera.png"
"Diagram of Paramecium","Paramecium is a ciliated protozoan that moves using hair-like cilia and has a complex cell structure.","Paramoecium.png"
"Diagram of Plasmodium","Plasmodium is the malaria parasite with stages in both mosquitoes and human hosts.","Plasmodium.png"
"Diagram of Saccharomyces","Saccharomyces is a genus of fungi that includes baker's and brewer's yeast.","Saccharomyces.png"
